Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44,No,Travel_Rarely,770,Sales,9,4,Life Sciences,1,388,2,Male,72,3,2,Sales Representative,2,Divorced,18381,7154,4,Y,No,21,3,3,80,2,17,3,3,16,16,4,15
45,Yes,Travel_Rarely,305,Research & Development,13,3,Medical,1,389,1,Female,73,2,1,Research Scientist,1,Married,12694,25518,0,Y,No,15,3,4,80,1,30,4,2,12,6,0,10
39,No,Travel_Rarely,244,Research & Development,28,3,Life Sciences,1,390,2,Female,62,1,1,Research Director,1,Married,6943,12756,2,Y,Yes,12,3,1,80,0,32,4,3,13,4,4,11
31,Yes,Travel_Rarely,288,Human Resources,13,2,Technical Degree,1,391,4,Female,67,3,1,Human Resources,2,Married,8388,24316,9,Y,Yes,25,3,4,80,2,14,2,3,7,5,5,0
24,No,Travel_Rarely,223,Research & Development,24,1,Life Sciences,1,392,3,Female,81,4,2,Healthcare Representative,4,Married,10763,10779,8,Y,No,18,4,3,80,2,14,2,3,0,0,0,0
54,No,Travel_Rarely,1475,Research & Development,13,2,Human Resources,1,393,4,Male,64,3,1,Research Scientist,3,Single,12824,19495,8,Y,No,22,3,4,80,0,24,4,3,19,14,6,0
39,No,Non-Travel,1225,Research & Development,27,4,Medical,1,394,2,Female,46,3,3,Research Scientist,4,Divorced,7470,5584,4,Y,Yes,20,3,4,80,1,33,3,3,14,7,0,1
22,No,Travel_Rarely,385,Research & Development,10,3,Medical,1,395,3,Male,87,4,1,Laboratory Technician,4,Married,13027,21362,2,Y,No,20,4,2,80,0,9,4,3,8,8,0,1
19,Yes,Travel_Rarely,1050,Human Resources,10,3,Medical,1,396,3,Male,77,4,1,Manager,2,Married,6898,4908,5,Y,No,14,4,1,80,0,40,3,3,27,4,2,17
44,No,Travel_Rarely,628,Research & Development,22,3,Life Sciences,1,397,1,Male,72,3,4,Healthcare Representative,4,Single,3831,12275,4,Y,No,21,3,2,80,1,24,3,1,5,4,4,5
38,Yes,Non-Travel,485,Research & Development,7,5,Life Sciences,1,398,4,Female,77,3,3,Research Scientist,1,Married,12952,16774,0,Y,No,20,3,2,80,0,15,0,3,4,0,0,2
55,No,Travel_Rarely,999,Research & Development,28,1,Life Sciences,1,399,2,Female,73,4,1,Laboratory Technician,1,Single,9091,7008,1,Y,No,22,4,4,80,0,26,2,3,24,0,0,9
32,Yes,Travel_Rarely,288,Research & Development,22,2,Medical,1,400,2,Female,62,3,3,Laboratory Technician,3,Single,2164,12652,4,Y,Yes,17,3,1,80,1,28,3,3,19,6,4,17
38,Yes,Travel_Rarely,1133,Sales,5,3,Medical,1,401,2,Female,31,3,2,Sales Executive,2,Married,18626,15747,8,Y,Yes,24,4,1,80,2,22,3,2,9,5,4,9
27,No,Travel_Rarely,725,Human Resources,20,4,Marketing,1,402,1,Male,39,3,4,Human Resources,2,Married,19999,13736,3,Y,No,23,3,4,80,2,13,3,4,0,0,0,0
40,No,Non-Travel,646,Research & Development,7,5,Life Sciences,1,403,3,Female,57,3,2,Research Scientist,3,Married,19726,21542,8,Y,Yes,15,3,3,80,3,4,3,3,2,0,0,0
56,Yes,Travel_Rarely,1015,Research & Development,20,2,Life Sciences,1,404,2,Male,76,3,3,Research Director,4,Single,19999,19067,2,Y,No,23,3,3,80,1,13,3,3,13,13,9,1
22,No,Travel_Rarely,191,Research & Development,10,4,Life Sciences,1,405,4,Male,37,4,5,Research Scientist,2,Married,4848,10920,0,Y,Yes,13,4,3,80,1,25,4,2,6,6,1,1
18,No,Travel_Rarely,597,Research & Development,10,4,Human Resources,1,406,2,Male,52,3,1,Laboratory Technician,2,Single,9631,20711,5,Y,Yes,20,4,4,80,1,21,2,3,21,18,2,12
30,Yes,Travel_Rarely,1061,Research & Development,26,2,Marketing,1,407,3,Female,77,2,2,Manufacturing Director,3,Divorced,2927,19791,9,Y,Yes,18,3,1,80,1,33,3,2,32,18,11,17
38,No,Non-Travel,217,Sales,25,3,Medical,1,408,3,Female,92,2,2,Manager,3,Married,13052,14635,6,Y,No,12,3,3,80,0,38,0,3,20,16,15,6
43,Yes,Travel_Rarely,786,Human Resources,21,3,Medical,1,409,4,Male,66,4,1,Human Resources,2,Married,15799,19448,3,Y,No,11,3,4,80,0,15,2,3,6,1,1,3
38,No,Non-Travel,1145,Sales,24,5,Life Sciences,1,410,2,Male,41,3,1,Sales Representative,4,Married,3855,6800,9,Y,Yes,15,3,3,80,2,22,2,3,19,6,0,17
35,No,Travel_Rarely,233,Research & Development,28,2,Other,1,411,4,Female,94,3,1,Laboratory Technician,3,Single,14062,8683,4,Y,No,21,3,4,80,0,8,2,3,5,5,5,5
54,No,Travel_Rarely,1417,Human Resources,13,4,Medical,1,412,3,Male,44,2,3,Human Resources,3,Divorced,3584,18383,3,Y,No,14,4,4,80,0,13,2,3,1,1,0,0
49,No,Travel_Rarely,1479,Human Resources,15,3,Life Sciences,1,413,1,Female,39,3,2,Manager,4,Single,16052,11765,2,Y,No,21,3,4,80,0,8,1,2,0,0,0,0
53,Yes,Travel_Rarely,1362,Research & Development,28,4,Medical,1,414,2,Female,71,2,2,Healthcare Representative,4,Married,1947,11456,0,Y,Yes,20,3,3,80,2,12,2,3,6,1,0,4
34,Yes,Travel_Rarely,324,Research & Development,28,3,Life Sciences,1,415,2,Male,55,3,1,Research Director,1,Married,10816,15265,5,Y,Yes,25,3,4,80,0,40,6,4,27,18,7,5
52,No,Travel_Rarely,537,Research & Development,6,3,Other,1,416,4,Male,78,3,2,Manufacturing Director,1,Single,11528,5279,9,Y,No,17,3,4,80,1,20,2,3,3,0,0,1
28,No,Travel_Rarely,1164,Sales,20,4,Life Sciences,1,417,2,Female,52,3,4,Sales Representative,4,Divorced,19999,9358,4,Y,No,25,3,4,80,0,4,3,3,2,2,0,0
38,No,Travel_Rarely,428,Research & Development,12,4,Medical,1,418,2,Female,93,4,2,Research Director,4,Married,7889,17835,0,Y,No,23,4,3,80,1,40,3,2,35,6,4,17
43,Yes,Travel_Rarely,1334,Research & Development,19,4,Life Sciences,1,419,1,Male,46,1,2,Research Scientist,3,Single,18781,25604,4,Y,No,19,3,1,80,1,19,2,3,0,0,0,0
21,Yes,Travel_Rarely,207,Research & Development,11,1,Marketing,1,420,2,Female,63,3,3,Research Scientist,3,Single,18053,20853,5,Y,Yes,16,3,2,80,0,28,1,2,19,7,1,4
51,No,Travel_Rarely,753,Research & Development,6,3,Marketing,1,421,3,Male,86,1,3,Healthcare Representative,3,Single,19999,22922,9,Y,No,21,4,2,80,3,19,1,3,4,4,0,1
35,No,Travel_Rarely,1374,Research & Development,1,2,Medical,1,422,3,Male,33,2,2,Research Director,2,Divorced,7931,17623,4,Y,No,11,4,3,80,1,2,4,2,0,0,0,0
57,Yes,Travel_Rarely,668,Sales,2,3,Medical,1,423,1,Female,100,2,4,Sales Executive,4,Married,19999,8544,0,Y,No,25,3,3,80,0,38,2,3,28,18,6,9
52,Yes,Non-Travel,731,Research & Development,23,3,Technical Degree,1,424,1,Female,98,3,2,Healthcare Representative,3,Single,9248,18676,4,Y,No,18,3,4,80,0,10,1,2,1,1,0,0
58,No,Travel_Rarely,789,Sales,15,3,Life Sciences,1,425,2,Male,97,3,4,Manager,4,Single,19999,5342,9,Y,No,12,3,4,80,0,25,2,2,10,7,7,8
46,No,Non-Travel,1479,Research & Development,4,3,Life Sciences,1,426,4,Female,79,4,1,Manufacturing Director,3,Married,6905,3241,0,Y,No,14,3,4,80,2,10,3,3,3,2,2,1
46,No,Travel_Rarely,571,Research & Development,5,5,Life Sciences,1,427,4,Male,96,1,2,Healthcare Representative,4,Married,12469,23754,2,Y,Yes,13,3,4,80,0,8,3,4,0,0,0,0
55,Yes,Travel_Rarely,826,Research & Development,15,2,Other,1,428,1,Male,97,3,1,Research Scientist,2,Married,6556,8844,1,Y,Yes,16,3,4,80,0,14,2,4,0,0,0,0
59,No,Travel_Rarely,366,Research & Development,11,3,Life Sciences,1,429,2,Male,88,4,3,Research Director,4,Married,4464,6800,0,Y,No,12,3,4,80,1,2,3,3,0,0,0,0
38,No,Travel_Rarely,938,Sales,10,3,Marketing,1,430,2,Female,92,2,2,Sales Representative,4,Single,3265,6129,3,Y,No,15,4,1,80,0,3,2,2,0,0,0,0
59,No,Travel_Rarely,952,Sales,17,2,Marketing,1,431,4,Male,96,3,1,Sales Representative,3,Married,4929,18334,1,Y,Yes,21,3,3,80,0,30,0,3,18,8,3,3
30,No,Travel_Rarely,1409,Research & Development,2,2,Life Sciences,1,432,3,Male,55,3,1,Laboratory Technician,3,Divorced,6435,12011,4,Y,Yes,19,4,3,80,1,19,2,3,8,6,3,1
58,No,Travel_Rarely,886,Research & Development,20,5,Life Sciences,1,433,2,Male,30,3,4,Research Scientist,1,Single,19999,6062,9,Y,No,25,4,1,80,0,13,3,3,5,0,0,2
34,No,Non-Travel,635,Sales,24,4,Life Sciences,1,434,2,Female,97,3,3,Sales Executive,3,Married,2227,13375,0,Y,No,13,3,4,80,2,20,3,3,7,5,1,4
26,No,Travel_Frequently,470,Sales,10,4,Medical,1,435,2,Female,47,3,2,Sales Executive,4,Married,18175,7148,9,Y,No,12,3,1,80,2,40,3,3,29,7,5,2
58,No,Travel_Rarely,800,Research & Development,20,5,Life Sciences,1,436,3,Female,41,3,2,Healthcare Representative,2,Married,18194,15579,0,Y,No,12,3,3,80,0,34,3,2,28,18,11,4
18,Yes,Travel_Frequently,1047,Sales,3,2,Life Sciences,1,437,1,Male,67,3,2,Manager,4,Single,19449,19904,9,Y,Yes,25,3,1,80,1,31,2,3,16,11,7,15
19,No,Travel_Rarely,255,Research & Development,19,3,Technical Degree,1,438,2,Female,71,2,2,Healthcare Representative,3,Divorced,9886,20319,3,Y,No,19,3,3,80,1,40,2,2,25,1,0,17
46,Yes,Travel_Rarely,721,Research & Development,28,3,Other,1,439,3,Male,65,4,4,Laboratory Technician,2,Married,6917,25765,6,Y,No,16,3,3,80,1,8,2,3,4,4,0,4
50,Yes,Travel_Rarely,417,Sales,5,3,Life Sciences,1,440,2,Female,45,3,1,Sales Executive,2,Married,11792,6957,1,Y,Yes,12,4,4,80,0,15,3,4,6,1,0,2
27,Yes,Non-Travel,1425,Sales,3,3,Life Sciences,1,441,3,Female,94,3,2,Manager,3,Single,14633,16525,1,Y,No,13,3,2,80,0,28,1,3,11,0,0,9
57,No,Travel_Rarely,912,Human Resources,8,3,Life Sciences,1,442,2,Male,96,4,2,Manager,1,Single,19999,14179,0,Y,No,25,4,3,80,2,22,5,2,12,3,0,12
38,No,Travel_Rarely,252,Research & Development,5,3,Marketing,1,443,4,Female,68,3,2,Manufacturing Director,4,Single,16811,8268,4,Y,Yes,24,3,4,80,0,14,3,3,8,3,3,2
45,No,Non-Travel,276,Research & Development,28,3,Marketing,1,444,1,Male,88,2,2,Laboratory Technician,4,Married,19999,20622,5,Y,No,11,3,4,80,1,19,2,2,6,0,0,3
28,No,Non-Travel,1180,Research & Development,12,2,Life Sciences,1,445,4,Male,67,3,2,Manufacturing Director,2,Single,19092,2798,5,Y,No,12,3,2,80,1,40,3,3,38,18,3,17
51,No,Travel_Rarely,880,Human Resources,14,3,Life Sciences,1,446,1,Male,45,3,1,Human Resources,2,Married,2329,12054,1,Y,No,25,3,1,80,0,37,0,3,20,18,8,12
25,No,Travel_Rarely,1436,Human Resources,7,3,Marketing,1,447,1,Male,40,3,2,Manager,3,Married,17116,3163,6,Y,Yes,12,3,1,80,1,17,2,2,7,2,2,3
39,No,Travel_Rarely,255,Research & Development,11,3,Medical,1,448,4,Male,57,4,1,Research Director,3,Married,12920,14160,5,Y,No,21,3,4,80,2,27,2,2,16,7,7,3
25,Yes,Non-Travel,602,Research & Development,8,2,Life Sciences,1,449,4,Female,31,1,1,Manufacturing Director,2,Married,2708,9822,7,Y,Yes,12,3,3,80,0,20,1,1,3,0,0,0
32,No,Travel_Frequently,1315,Sales,5,4,Medical,1,450,1,Male,49,2,1,Manager,3,Married,1484,24958,5,Y,Yes,17,3,1,80,2,1,4,4,0,0,0,0
34,No,Travel_Rarely,607,Research & Development,8,1,Life Sciences,1,451,4,Female,67,3,3,Healthcare Representative,4,Single,19999,25295,8,Y,No,13,3,2,80,0,5,4,3,5,2,1,5
40,Yes,Travel_Rarely,250,Research & Development,12,3,Life Sciences,1,452,2,Male,85,3,2,Manufacturing Director,1,Single,19999,8522,9,Y,No,23,3,4,80,1,15,1,3,6,5,1,4
41,Yes,Travel_Rarely,109,Research & Development,15,4,Marketing,1,453,3,Male,68,3,2,Manufacturing Director,2,Married,11586,24755,1,Y,No,25,3,3,80,1,0,2,4,0,0,0,0
36,No,Travel_Rarely,694,Human Resources,19,3,Marketing,1,454,1,Female,60,3,3,Manager,4,Married,19999,11054,6,Y,No,24,3,3,80,1,25,1,3,20,9,6,17
22,Yes,Travel_Rarely,692,Sales,16,2,Life Sciences,1,455,2,Male,52,2,3,Manager,1,Single,17789,17124,4,Y,No,21,3,3,80,0,11,4,3,5,3,3,4
49,No,Travel_Rarely,570,Research & Development,14,3,Human Resources,1,456,3,Male,63,1,2,Healthcare Representative,4,Married,12738,16968,0,Y,No,14,3,1,80,0,26,2,3,10,5,3,4
18,No,Travel_Rarely,422,Sales,28,3,Life Sciences,1,457,3,Female,46,4,2,Manager,2,Single,14655,14009,2,Y,No,12,3,2,80,2,8,2,3,0,0,0,0
40,No,Travel_Rarely,673,Research & Development,7,4,Marketing,1,458,3,Male,53,3,2,Healthcare Representative,1,Single,13681,10545,3,Y,Yes,15,3,3,80,0,7,2,2,1,0,0,1
54,Yes,Travel_Frequently,552,Sales,8,4,Medical,1,459,3,Male,64,4,3,Manager,1,Single,4723,25124,1,Y,No,24,3,2,80,1,40,2,3,26,12,2,3
25,Yes,Travel_Rarely,229,Sales,7,3,Technical Degree,1,460,4,Male,52,3,2,Manager,1,Divorced,12774,8829,6,Y,No,19,3,4,80,2,13,3,3,11,3,3,11
30,Yes,Travel_Rarely,1412,Sales,18,3,Technical Degree,1,461,1,Female,37,1,4,Sales Executive,1,Single,19999,21421,0,Y,No,22,3,3,80,0,40,3,1,32,16,8,17
25,No,Travel_Rarely,954,Research & Development,24,2,Life Sciences,1,462,1,Female,83,3,4,Laboratory Technician,1,Single,10308,17720,2,Y,No,19,4,4,80,0,40,3,2,40,18,13,0
40,No,Travel_Rarely,188,Research & Development,6,2,Human Resources,1,463,3,Female,50,4,1,Research Scientist,2,Single,5304,22983,8,Y,No,17,3,2,80,2,25,3,2,6,4,4,6
60,Yes,Travel_Rarely,1206,Research & Development,26,3,Marketing,1,464,1,Female,48,3,1,Research Director,1,Single,14212,7369,1,Y,No,22,4,2,80,2,21,3,3,4,3,3,3
18,No,Travel_Rarely,635,Human Resources,19,3,Marketing,1,465,3,Male,60,2,3,Human Resources,3,Married,12308,22039,4,Y,No,18,3,2,80,0,23,0,2,23,18,11,15
41,No,Travel_Rarely,1377,Research & Development,4,3,Life Sciences,1,466,3,Male,79,3,2,Laboratory Technician,4,Single,3253,24949,3,Y,Yes,23,3,3,80,1,40,1,3,40,16,0,3
52,No,Travel_Frequently,291,Sales,23,2,Marketing,1,467,2,Female,100,2,1,Sales Executive,4,Single,14109,16367,2,Y,Yes,24,3,2,80,3,22,2,3,12,1,1,8
41,Yes,Travel_Rarely,925,Research & Development,3,1,Technical Degree,1,468,4,Male,53,4,4,Healthcare Representative,3,Married,18769,11925,4,Y,No,15,3,3,80,0,38,3,2,19,6,2,17
34,No,Travel_Rarely,480,Sales,17,3,Life Sciences,1,469,2,Male,75,3,1,Sales Representative,4,Married,10102,20871,5,Y,No,15,4,4,80,0,27,5,4,19,15,13,16
22,No,Travel_Rarely,557,Human Resources,22,2,Human Resources,1,470,2,Male,37,4,4,Manager,1,Married,19999,24718,0,Y,No,22,3,4,80,1,12,0,3,5,3,3,2
37,Yes,Non-Travel,1133,Sales,19,4,Life Sciences,1,471,2,Male,32,3,3,Manager,1,Married,19366,21162,1,Y,No,13,3,2,80,0,17,2,2,10,2,1,6
38,Yes,Travel_Rarely,419,Human Resources,27,1,Life Sciences,1,472,1,Female,63,3,3,Human Resources,2,Single,16735,20708,0,Y,Yes,16,3,1,80,1,25,2,3,21,10,1,17
57,No,Non-Travel,435,Sales,15,3,Medical,1,473,2,Male,86,3,1,Manager,4,Married,2342,13684,2,Y,Yes,11,4,2,80,1,25,4,3,14,11,1,5
48,No,Travel_Rarely,331,Research & Development,26,5,Medical,1,474,3,Male,87,1,1,Laboratory Technician,4,Single,8668,22225,7,Y,No,13,4,4,80,0,0,4,3,0,0,0,0
53,No,Travel_Rarely,765,Research & Development,6,2,Medical,1,475,4,Male,64,3,2,Laboratory Technician,3,Married,11688,2989,7,Y,Yes,21,3,2,80,2,19,1,2,5,4,4,2
28,No,Travel_Rarely,609,Human Resources,26,3,Life Sciences,1,476,4,Female,50,2,1,Human Resources,2,Married,8592,10946,3,Y,No,12,3,3,80,0,18,3,4,1,1,0,0
32,Yes,Non-Travel,891,Sales,12,1,Other,1,477,1,Male,94,3,2,Manager,3,Single,1692,23518,5,Y,Yes,17,3,3,80,0,8,3,3,3,3,3,3
36,Yes,Travel_Rarely,1025,Research & Development,19,3,Life Sciences,1,478,1,Male,95,3,2,Manufacturing Director,1,Married,9743,13135,8,Y,No,19,3,2,80,0,36,1,3,27,0,0,17
24,No,Travel_Rarely,1412,Human Resources,6,3,Life Sciences,1,479,4,Female,86,4,1,Human Resources,3,Divorced,6350,12711,6,Y,No,14,3,1,80,2,13,2,2,0,0,0,0
45,Yes,Travel_Frequently,1070,Research & Development,11,3,Life Sciences,1,480,1,Female,71,1,1,Laboratory Technician,3,Divorced,4286,3204,1,Y,No,17,3,3,80,0,9,3,2,2,0,0,2
60,No,Travel_Rarely,861,Research & Development,20,3,Medical,1,481,4,Male,72,3,3,Laboratory Technician,1,Married,19999,22223,1,Y,No,18,3,2,80,0,6,0,3,4,3,1,0
22,No,Non-Travel,547,Research & Development,29,4,Human Resources,1,482,4,Male,55,3,1,Research Scientist,1,Married,9843,8917,2,Y,No,20,4,2,80,3,29,2,2,11,1,1,4
22,No,Travel_Rarely,1468,Research & Development,20,2,Medical,1,483,4,Male,96,3,1,Research Scientist,4,Single,15355,11444,7,Y,No,12,3,3,80,3,20,1,2,9,1,1,0
47,No,Travel_Rarely,426,Research & Development,10,1,Marketing,1,484,2,Male,55,3,2,Healthcare Representative,3,Single,6781,4231,9,Y,No,17,3,3,80,0,13,3,2,2,1,1,2
49,Yes,Non-Travel,978,Research & Development,26,4,Life Sciences,1,485,1,Male,37,3,5,Manufacturing Director,2,Married,19999,15201,8,Y,No,23,3,1,80,0,15,4,3,1,0,0,0
25,No,Travel_Rarely,268,Human Resources,16,3,Medical,1,486,3,Male,76,2,2,Human Resources,3,Married,14221,3934,2,Y,Yes,22,4,3,80,1,9,3,1,3,3,0,2
27,No,Travel_Rarely,1421,Sales,27,4,Medical,1,487,4,Male,66,3,1,Sales Representative,4,Divorced,6752,20388,8,Y,No,13,3,2,80,1,11,0,2,8,5,5,1
55,No,Non-Travel,682,Sales,18,3,Medical,1,488,1,Male,47,3,2,Sales Executive,2,Married,14533,13196,9,Y,No,18,3,3,80,2,11,0,4,3,2,0,1
49,No,Non-Travel,1308,Human Resources,14,4,Life Sciences,1,489,4,Female,65,4,4,Human Resources,1,Married,12236,2836,7,Y,No,16,3,4,80,0,40,3,2,31,4,2,17
45,No,Travel_Rarely,940,Research & Development,4,3,Marketing,1,490,2,Female,31,3,3,Healthcare Representative,3,Married,3011,5254,4,Y,Yes,13,3,4,80,0,20,2,3,8,1,0,8
34,Yes,Travel_Rarely,1211,Research & Development,27,4,Medical,1,491,3,Female,32,3,2,Healthcare Representative,3,Divorced,9485,19794,9,Y,Yes,18,3,3,80,1,3,3,3,0,0,0,0
48,No,Travel_Rarely,907,Research & Development,12,4,Marketing,1,492,4,Male,63,1,2,Manufacturing Director,1,Married,16788,6635,2,Y,No,21,3,3,80,1,24,1,4,16,2,1,4
25,No,Travel_Rarely,1274,Sales,20,3,Medical,1,493,1,Male,75,3,2,Manager,2,Married,19999,9775,6,Y,No,23,3,4,80,1,22,4,4,5,1,1,3
57,No,Travel_Rarely,873,Sales,27,2,Life Sciences,1,494,2,Female,91,4,1,Sales Executive,2,Married,14524,25485,8,Y,No,13,3,1,80,2,27,4,3,13,10,0,11
42,Yes,Travel_Rarely,1029,Research & Development,23,2,Medical,1,495,1,Male,99,3,3,Laboratory Technician,3,Divorced,11079,22283,5,Y,Yes,19,3,3,80,1,18,4,4,4,2,1,4
26,No,Travel_Rarely,962,Research & Development,21,2,Life Sciences,1,496,1,Male,86,3,3,Research Director,2,Single,8257,16389,2,Y,No,21,3,4,80,0,15,2,3,10,4,4,0
19,No,Travel_Rarely,1057,Research & Development,8,2,Technical Degree,1,497,1,Male,39,3,5,Manufacturing Director,3,Divorced,11696,10202,4,Y,Yes,13,3,3,80,1,28,3,3,18,10,3,12
32,No,Travel_Rarely,160,Sales,7,2,Medical,1,498,2,Female,47,3,2,Manager,4,Married,5462,20209,6,Y,No,11,3,3,80,0,36,2,2,29,18,13,0
20,No,Travel_Rarely,707,Human Resources,26,3,Life Sciences,1,499,2,Female,62,3,1,Manager,4,Married,1252,11941,7,Y,No,23,3,4,80,0,19,4,3,3,0,0,2
53,No,Travel_Rarely,106,Human Resources,9,3,Other,1,500,4,Male,36,2,2,Human Resources,3,Married,6193,25887,3,Y,No,12,3,1,80,3,21,1,3,5,3,3,5
21,No,Travel_Rarely,184,Research & Development,24,3,Medical,1,501,4,Male,74,3,3,Laboratory Technician,3,Married,19999,16362,1,Y,Yes,14,3,3,80,1,25,4,3,8,7,1,7
31,No,Non-Travel,941,Research & Development,25,3,Life Sciences,1,502,2,Female,58,3,3,Manufacturing Director,4,Single,2587,17115,9,Y,No,23,3,2,80,0,32,2,3,29,18,14,17
58,No,Non-Travel,650,Research & Development,17,1,Medical,1,503,1,Male,67,3,1,Research Director,4,Divorced,8201,20045,1,Y,No,21,3,1,80,0,40,4,2,27,5,1,17
58,Yes,Travel_Rarely,1152,Research & Development,10,1,Life Sciences,1,504,2,Female,68,3,2,Laboratory Technician,4,Married,11665,20288,2,Y,No,12,3,2,80,0,1,3,3,0,0,0,0
42,No,Travel_Frequently,626,Research & Development,29,2,Marketing,1,505,4,Female,54,4,2,Research Director,1,Married,8807,9968,7,Y,No,14,3,3,80,0,1,2,3,0,0,0,0
27,No,Travel_Rarely,1103,Sales,28,3,Marketing,1,506,3,Female,46,2,2,Manager,1,Single,12251,7217,0,Y,No,14,3,2,80,1,17,5,2,8,0,0,8
38,No,Travel_Rarely,515,Human Resources,3,2,Other,1,507,4,Male,90,3,4,Manager,4,Married,2582,13302,6,Y,No,14,3,3,80,1,2,2,3,0,0,0,0
53,No,Non-Travel,816,Research & Development,21,2,Medical,1,508,1,Male,80,3,2,Manufacturing Director,4,Married,13865,16962,5,Y,No,11,4,3,80,1,12,5,3,5,5,4,3
29,Yes,Travel_Rarely,281,Human Resources,25,3,Medical,1,509,4,Male,66,2,3,Manager,3,Married,19576,17691,1,Y,Yes,19,4,1,80,0,20,4,4,1,0,0,1
44,No,Travel_Rarely,884,Research & Development,8,4,Marketing,1,510,3,Female,96,3,2,Laboratory Technician,4,Married,2360,10763,8,Y,Yes,20,3,2,80,0,18,6,2,12,12,6,1
57,No,Travel_Rarely,1002,Research & Development,14,1,Life Sciences,1,511,4,Female,53,3,3,Research Scientist,4,Married,19999,25758,4,Y,No,21,3,1,80,0,40,0,3,32,9,1,16
19,Yes,Travel_Rarely,628,Research & Development,26,3,Medical,1,512,3,Male,78,2,2,Research Director,3,Divorced,6242,7946,1,Y,No,17,4,3,80,0,40,2,2,40,10,3,9
30,No,Travel_Rarely,102,Human Resources,7,3,Medical,1,513,2,Male,50,2,3,Human Resources,2,Married,13881,6799,2,Y,No,12,3,2,80,2,20,3,3,6,4,0,6
49,No,Travel_Rarely,372,Research & Development,16,4,Life Sciences,1,514,3,Female,86,3,2,Research Scientist,3,Divorced,12635,2235,6,Y,No,13,3,3,80,1,24,5,2,11,5,4,10
48,No,Travel_Rarely,585,Sales,18,5,Medical,1,515,4,Female,70,4,2,Manager,3,Single,4029,17091,6,Y,Yes,23,3,2,80,3,38,0,3,23,1,0,9
33,No,Non-Travel,1057,Sales,11,1,Technical Degree,1,516,2,Female,46,1,1,Manager,4,Married,1599,6749,9,Y,No,18,3,3,80,1,13,0,3,0,0,0,0
49,No,Non-Travel,1173,Research & Development,6,2,Technical Degree,1,517,1,Male,50,4,2,Manufacturing Director,3,Married,3485,20576,0,Y,No,17,3,4,80,1,16,2,2,14,0,0,2
49,Yes,Travel_Rarely,795,Research & Development,20,4,Life Sciences,1,518,2,Male,97,3,2,Research Scientist,4,Married,17759,12856,9,Y,No,14,3,3,80,0,23,4,3,6,2,0,3
51,No,Travel_Rarely,1308,Human Resources,21,3,Life Sciences,1,519,2,Female,93,3,2,Manager,4,Divorced,12479,7483,3,Y,No,14,3,3,80,0,7,4,3,2,2,0,2
28,Yes,Travel_Rarely,941,Sales,14,3,Life Sciences,1,520,2,Female,73,3,5,Manager,1,Single,19999,19764,5,Y,No,19,3,4,80,1,22,2,3,6,2,0,0
27,No,Non-Travel,474,Research & Development,21,3,Technical Degree,1,521,4,Male,57,4,1,Research Director,1,Single,13772,2901,7,Y,Yes,25,3,2,80,1,13,0,3,0,0,0,0
32,No,Travel_Rarely,640,Research & Development,13,3,Life Sciences,1,522,3,Male,65,3,3,Research Scientist,3,Divorced,4300,9482,2,Y,No,15,3,4,80,1,28,3,3,15,4,3,5
34,No,Travel_Rarely,771,Human Resources,4,5,Marketing,1,523,3,Male,66,4,5,Human Resources,2,Single,19999,22283,2,Y,No,24,3,4,80,0,22,2,2,3,2,1,1
57,No,Non-Travel,673,Research & Development,20,5,Life Sciences,1,524,3,Male,73,3,1,Research Director,3,Married,15496,6598,7,Y,No,23,4,2,80,3,16,3,3,4,3,2,0
35,No,Travel_Frequently,167,Research & Development,20,4,Medical,1,525,4,Male,79,3,3,Research Director,1,Married,13406,3067,7,Y,No,21,3,4,80,0,2,2,3,0,0,0,0
26,Yes,Travel_Rarely,153,Research & Development,11,2,Life Sciences,1,526,4,Female,84,4,1,Research Scientist,2,Divorced,7953,5032,7,Y,No,15,3,4,80,0,36,3,3,24,18,4,8
42,Yes,Travel_Rarely,571,Research & Development,18,4,Marketing,1,527,3,Male,39,4,1,Healthcare Representative,1,Single,13302,2179,0,Y,No,25,3,4,80,2,9,4,3,8,3,2,8
57,Yes,Non-Travel,344,Sales,1,1,Life Sciences,1,528,3,Female,67,2,2,Manager,2,Single,6520,12082,7,Y,No,17,3,4,80,0,18,3,2,10,7,7,4
31,No,Travel_Rarely,438,Sales,12,2,Medical,1,529,2,Male,78,4,4,Sales Representative,1,Married,19999,16533,7,Y,No,11,3,3,80,2,22,2,3,10,6,6,7
42,No,Travel_Rarely,857,Research & Development,18,4,Life Sciences,1,530,2,Female,31,3,1,Manufacturing Director,4,Divorced,7845,17169,1,Y,Yes,13,3,1,80,0,13,4,3,6,1,1,6
